timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1681813393459,216,/actions/Catalog.action-57-4,200,,JpetReg_Dynamic 1-2,bin,true,,329,526,3,3,https://petstore.octoperf.com/images/separator.gif,216,0,0
1681813393676,218,/actions/Catalog.action-57-5,200,,JpetReg_Dynamic 1-2,bin,true,,556,524,3,3,https://petstore.octoperf.com/images/sm_fish.gif,218,0,0
1681813393894,217,/actions/Catalog.action-57-6,200,,JpetReg_Dynamic 1-2,bin,true,,591,524,3,3,https://petstore.octoperf.com/images/sm_dogs.gif,217,0,0
1681813394112,220,/actions/Catalog.action-57-7,200,,JpetReg_Dynamic 1-2,bin,true,,683,528,3,3,https://petstore.octoperf.com/images/sm_reptiles.gif,220,0,0
1681813394334,220,/actions/Catalog.action-57-8,200,,JpetReg_Dynamic 1-2,bin,true,,574,524,3,3,https://petstore.octoperf.com/images/sm_cats.gif,219,0,0
1681813394554,216,/actions/Catalog.action-57-9,200,,JpetReg_Dynamic 1-2,bin,true,,536,525,3,3,https://petstore.octoperf.com/images/sm_birds.gif,216,0,0
1681813394770,220,/actions/Catalog.action-57-10,200,,JpetReg_Dynamic 1-2,bin,true,,724,526,3,3,https://petstore.octoperf.com/images/fish_icon.gif,220,0,0
1681813394991,217,/actions/Catalog.action-57-11,200,,JpetReg_Dynamic 1-2,bin,true,,753,526,3,3,https://petstore.octoperf.com/images/dogs_icon.gif,217,0,0
1681813395208,216,/actions/Catalog.action-57-12,200,,JpetReg_Dynamic 1-2,bin,true,,693,526,3,3,https://petstore.octoperf.com/images/cats_icon.gif,216,0,0
1681813395425,219,/actions/Catalog.action-57-13,200,,JpetReg_Dynamic 1-2,bin,true,,954,530,3,3,https://petstore.octoperf.com/images/reptiles_icon.gif,219,0,0
1681813395645,228,/actions/Catalog.action-57-14,200,,JpetReg_Dynamic 1-2,bin,true,,756,527,3,3,https://petstore.octoperf.com/images/birds_icon.gif,228,0,0
1681813395874,296,/actions/Catalog.action-57-15,200,,JpetReg_Dynamic 1-2,bin,true,,36386,523,3,3,https://petstore.octoperf.com/images/splash.gif,231,0,0
1681813392408,3761,01_Launch,200,"Number of samples in transaction : 1, number of failing samples : 0",JpetReg_Dynamic 1-2,,true,,59394,8356,3,3,null,387,2,0
1681813396166,467,/actions/Account.action-85,200,,JpetReg_Dynamic 1-1,text,true,,5811,670,3,3,https://petstore.octoperf.com/actions/Account.action?newAccountForm=,467,0,0
1681813396166,467,/actions/Account.action-85-0,200,,JpetReg_Dynamic 1-1,text,true,,5811,670,3,3,https://petstore.octoperf.com/actions/Account.action?newAccountForm=,467,0,0
1681813396166,467,03_ClickOnRegisterNow,200,"Number of samples in transaction : 1, number of failing samples : 0",JpetReg_Dynamic 1-1,,true,,5811,670,3,3,null,467,4,0
1681813396021,612,/actions/Account.action-111,200,,JpetReg_Dynamic 1-3,text,true,,4946,2221,3,3,https://petstore.octoperf.com/actions/Catalog.action,239,0,0
1681813396021,239,/actions/Account.action-111-0,302,,JpetReg_Dynamic 1-3,,true,,218,1519,3,3,https://petstore.octoperf.com/actions/Account.action,239,0,0
1681813396261,372,/actions/Account.action-111-1,200,,JpetReg_Dynamic 1-3,text,true,,4728,702,3,3,https://petstore.octoperf.com/actions/Catalog.action,372,0,0
1681813396172,467,/actions/Account.action;jsessionid=DB214B0BB74BFD72B29CB3683A750FA1-81,200,,JpetReg_Dynamic 1-2,text,true,,3851,654,3,3,https://petstore.octoperf.com/actions/Account.action;jsessionid=94C7E74909ED4AC8B68F3EF7259DF9EC?signonForm=,467,0,0
1681813396172,467,/actions/Account.action;jsessionid=DB214B0BB74BFD72B29CB3683A750FA1-81-0,200,,JpetReg_Dynamic 1-2,text,true,,3851,654,3,3,https://petstore.octoperf.com/actions/Account.action;jsessionid=94C7E74909ED4AC8B68F3EF7259DF9EC?signonForm=,467,0,0
1681813396171,467,02_ClickOnSignIn,200,"Number of samples in transaction : 1, number of failing samples : 0",JpetReg_Dynamic 1-2,,true,,3851,654,3,3,null,467,3,0
1681813396642,238,/actions/Account.action-85,200,,JpetReg_Dynamic 1-2,text,true,,5813,670,3,3,https://petstore.octoperf.com/actions/Account.action?newAccountForm=,238,0,0
1681813396642,238,/actions/Account.action-85-0,200,,JpetReg_Dynamic 1-2,text,true,,5813,670,3,3,https://petstore.octoperf.com/actions/Account.action?newAccountForm=,238,0,0
1681813396641,238,03_ClickOnRegisterNow,200,"Number of samples in transaction : 1, number of failing samples : 0",JpetReg_Dynamic 1-2,,true,,5813,670,3,3,null,238,2,0
1681813396638,250,/actions/Catalog.action-112,200,,JpetReg_Dynamic 1-3,text,true,,4728,614,3,3,https://petstore.octoperf.com/actions/Catalog.action,250,0,0
1681813396638,250,/actions/Catalog.action-112-0,200,,JpetReg_Dynamic 1-3,text,true,,4728,614,3,3,https://petstore.octoperf.com/actions/Catalog.action,250,0,0
1681813396021,862,04_SaveAccountInformation,200,"Number of samples in transaction : 2, number of failing samples : 0",JpetReg_Dynamic 1-3,,true,,9674,2835,3,3,null,489,6,0
1681813396638,471,/actions/Account.action-111,200,,JpetReg_Dynamic 1-1,text,true,,4946,2221,3,3,https://petstore.octoperf.com/actions/Catalog.action,223,0,0
1681813396638,223,/actions/Account.action-111-0,302,,JpetReg_Dynamic 1-1,,true,,218,1519,3,3,https://petstore.octoperf.com/actions/Account.action,223,0,0
1681813396861,248,/actions/Account.action-111-1,200,,JpetReg_Dynamic 1-1,text,true,,4728,702,3,3,https://petstore.octoperf.com/actions/Catalog.action,247,0,0
1681813397112,234,/actions/Catalog.action-112,200,,JpetReg_Dynamic 1-1,text,true,,4728,614,3,3,https://petstore.octoperf.com/actions/Catalog.action,233,0,0
1681813397112,234,/actions/Catalog.action-112-0,200,,JpetReg_Dynamic 1-1,text,true,,4728,614,3,3,https://petstore.octoperf.com/actions/Catalog.action,233,0,0
1681813396637,705,04_SaveAccountInformation,200,"Number of samples in transaction : 2, number of failing samples : 0",JpetReg_Dynamic 1-1,,true,,9674,2835,3,3,null,456,6,0
1681813396881,671,/actions/Account.action-111,200,,JpetReg_Dynamic 1-2,text,true,,4946,2221,3,3,https://petstore.octoperf.com/actions/Catalog.action,380,0,0
1681813396881,380,/actions/Account.action-111-0,302,,JpetReg_Dynamic 1-2,,true,,218,1519,3,3,https://petstore.octoperf.com/actions/Account.action,380,0,0
1681813397261,291,/actions/Account.action-111-1,200,,JpetReg_Dynamic 1-2,text,true,,4728,702,3,3,https://petstore.octoperf.com/actions/Catalog.action,291,0,0
1681813397556,277,/actions/Catalog.action-112,200,,JpetReg_Dynamic 1-2,text,true,,4728,614,3,3,https://petstore.octoperf.com/actions/Catalog.action,276,0,0
1681813397556,277,/actions/Catalog.action-112-0,200,,JpetReg_Dynamic 1-2,text,true,,4728,614,3,3,https://petstore.octoperf.com/actions/Catalog.action,276,0,0
1681813396881,948,04_SaveAccountInformation,200,"Number of samples in transaction : 2, number of failing samples : 0",JpetReg_Dynamic 1-2,,true,,9674,2835,3,3,null,656,4,0
1681813396891,3644,/actions/Catalog.action-57,200,,JpetReg_Dynamic 1-3,text,true,,59394,8356,3,3,https://petstore.octoperf.com/actions/Catalog.action,247,0,0
1681813396891,247,/actions/Catalog.action-57-0,200,,JpetReg_Dynamic 1-3,text,true,,5419,475,3,3,https://petstore.octoperf.com/actions/Catalog.action,247,0,0
1681813397139,215,/actions/Catalog.action-57-1,200,,JpetReg_Dynamic 1-3,text,true,,5966,523,3,3,https://petstore.octoperf.com/css/jpetstore.css,215,0,0
1681813397355,215,/actions/Catalog.action-57-2,200,,JpetReg_Dynamic 1-3,bin,true,,4095,528,3,3,https://petstore.octoperf.com/images/logo-topbar.gif,215,0,0
1681813397571,212,/actions/Catalog.action-57-3,200,,JpetReg_Dynamic 1-3,bin,true,,379,521,3,3,https://petstore.octoperf.com/images/cart.gif,212,0,0
